ID,Herbario,Duplicatas,Type.statu,No..Herbar,Coletor,Coletores.,No.Voucher,Dia.de.col,Mes.de.col,Ano.de.col,Familia,Genero,especie,species,Autor,infra,nome.infra,Autor.infr,Determinad,Mes.da.det,Ano.da.det,Pa�.s,Estado,Estado.Sig,Cidade,Localidade,Lat,Lon,,,,,,,,,
14260,SPF,"HUEFS,K",,SPF00087676,W. Ganev,,654,14,7,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Abaíra,Campo de Ouro Fino,-13.31947,-41.8736186,,,,,,,,,
14259,SPF,"HUEFS,K",,SPF00087051,W. Ganev,,1164,22,9,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Piatã,Serra de Santana,-13.29114,-41.87993662,,,,,,,,,
14258,SPF,"HUEFS,K",,SPF00086878,W. Ganev,,1243,16,10,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Parra, L.R.; Sano, P.T.",0,1998,Brasil,Bahia,BA,Piatã,Catolés,-13.29114,-41.88993662,,,,,,,,,
14265,SPF,"HUEFS,K",,SPF00087790,W. Ganev,,1488,18,11,1992,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Parra, L.R.",8,1996,Brasil,Bahia,BA,Abaíra,Serra do Bicota,-13.35947,-41.8436186,,,,,,,,,
14266,SPF,"HUEFS,K",,SPF00082558,W. Ganev,,1932,21,7,1993,Eriocaulaceae,Paepalanthus,barbulatus,Paepalanthus barbulatus,Herzog,,,,"Giulietti, A.M.",0,1998,Brasil,Bahia,BA,Abaíra,Serra do Bicota,-13.38168,-41.81039091,,,,,,,,,
15528,SPF,DIAM,,SPF00227040,B. G. Silva,,29,24,2,2010,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,"Silva, B.G.",0,0,Brasil,Minas Gerais,MG,Diamantina,Serra do Pasmar,-18.17494,-43.4449,,,,,,,,,
1667,DIAM,,,,B. G. Silva,"I.M.Franco, C.M.Cabra, A.M.Souza & F.N.Costa",29,24,2,2010,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,B.G.Silva,,2010,Brazil,Minas Gerais,MG,Diamantina,Serra do Pasmar,-18.16149,-43.52379068,,,,,,,,,
1863,NY,,,897787,C. A. W. Schwacke,,8485,,0,1896,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,C. A. W. Schwacke,,,Brazil,Minas Gerais,MG,Diamantina,Serra do Crystaes,-18.22506,-43.57550514,,,,,,,,,
1519,HUEFS,,,124497,C. Azevedo,,336,24,5,2007,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,M.L.O.Trovó,4,2008,Brazil,Minas Gerais,MG,Datas,Estrada em direção a Datas.,-18.4456,-43.65579987,,,,,,,,,
2082,DIAM,SPF,,,C. O. Andrino,,167,19,5,2011,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,C.O. Andrino,5,2011,Brazil,Minas Gerais,MG,Diamantina,Parque Estadual do Biribiri,-18.17833,-43.54444444,,,,,,,,,
1725,HUEFS,,,181680,C. Silva,,504,12,10,2011,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,C.O.Andrino,4,2015,Brazil,Minas Gerais,MG,Diamantina,"BR 367 sentido Curvelo, km 599, após o entroncamento para Conselheiro Mata, lado esquerdo da estrada. Campo Rupestre. 1400m alt.",-18.26666,-43.683333,,,,,,,,,
1909,HUEFS,,,81794,F. N. Costa,,263,1,5,2001,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,C.O.Andrino,4,2015,Brazil,Minas Gerais,MG,Diamantina,"Estrada Guinda-São João da Chapada, ca. 10 km depois da entrada para Guinda",-18.22506,-43.57550498,,,,,,,,,
9159,DIAM,,,266,F. N. Costa,,675,11,8,2002,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,F.N.Costa,,,Brazil,Minas Gerais,MG,Diamantina,Pousada Candeia Torta,-18.17135,-43.52028247,,,,,,,,,
2092,DIAM,,,,F. N. Costa,"A. M. Souza, I. M. Franco, A. S. Quaresma & R. Duarte",1216,23,2,2010,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,F.N.Costa,,2011,Brazil,Minas Gerais,MG,Diamantina,Parque Estadual do Biribiri.,-18.1775,-43.54277778,,,,,,,,,
2036,DIAM,,,,F. N. Costa,I.M. Franco & A.P. Silva,1456,14,10,2011,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,F.N. Costa,10,2011,Brazil,Minas Gerais,MG,Diamantina,Campus JK da Universidade Federal dos Vales do Jequitinhonha e Mucuri.,-18.19972,-43.56527778,,,,,,,,,
6065,MBM,,,18359,G. Hatschbach,,27447,,0,0,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,"Moldenke, HN",,,Brazil,Minas Gerais,MG,Gouveia,Serra do Espinhaço,-18.48609,-43.76741826,,,,,,,,,
1621,NY,,,897786,H. S. Irwin,,22303,,0,1969,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,H. N. Moldenke,,,Brazil,Minas Gerais,MG,,Ca. 20km SW of Diamantina.  Serra do Espinhaço.,-18.37,-43.7,,,,,,,,,
2080,NY,UB,,897784,H. S. Irwin,,22694,,0,1969,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,H. N. Moldenke,,,Brazil,Minas Gerais,MG,,"Ca. 12 km NE of Diamantina, road to Mendanha.  Serra do Espinhaço.",-18.18,-43.55,,,,,,,,,
2196,NY,,,897785,H. S. Irwin,,28578,,0,1970,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,H. N. Moldenke,,,Brazil,Minas Gerais,MG,Diamantina,"Serra do Espinhaço, ca. 7 km N. of São João da Chapada, road to Campo do Sampaio",-18.16675,-43.52154206,,,,,,,,,
1682,DIAM,,,,I. M. Araújo,B.F.C.Lage,49,29,8,2010,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,F.N.Costa,9,2011,Brazil,Minas Gerais,MG,Diamantina,,-18.29222,-43.82583333,,,,,,,,,
2049,DIAM,,,,I. M. Franco,M.M.T.Cota,867,14,7,2011,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,I.M.Franco,7,2011,Brazil,Minas Gerais,MG,Diamantina,Campus JK da Universidade Federal dos Vales do Jequitinhonha e Mucuri.,-18.19722,-43.56777778,,,,,,,,,
15624,SPF,"HDJF,DIAM,UB",,SPF00230347,J. E. Q. Faria,,6225,7,7,2016,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,"Ramos, R.",7,2017,Brasil,Minas Gerais,MG,Diamantina,,-18.2211,-43.5760195,,,,,,,,,
12608,SPF,BHCB,,SPF00196062,L. Echternacht,,1804,16,7,2008,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,"Echternacht, L.",3,2010,Brasil,Minas Gerais,MG,Diamantina,Parque Estadual do Biribiri,-18.1682,-43.5349195,,,,,,,,,
12601,SPF,"CTES,HUEFS",,SPF00077516,M. M. Arbo,,4362,18,5,1990,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,"Watanabe, M.",8,2015,Brasil,Minas Gerais,MG,Diamantina,,-18.17,-43.49,,,,,,,,,
12598,SPF,RB,,SPF00186929,R. C. Forzza,,4874,16,11,2007,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,"Trovó, M.L.O.",1,2015,Brasil,Minas Gerais,MG,Diamantina,,-18.162,-43.4246,,,,,,,,,
1627,NY,,,897779,W. R. Anderson,,8471,,0,1973,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,H. N. Moldenke,,,Brazil,Minas Gerais,MG,,Ca. 18 km by road SW of Diamantina on road to Curvelo.  Serra do Espinhaço.,-18.365,-43.7204,,,,,,,,,
1702,NY,,,897782,W. R. Anderson,,35232,,0,1972,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,H. N. Moldenke,,,Brazil,Minas Gerais,MG,,Ca. 10km SW of Diamantina.,-18.2801,-43.6859,,,,,,,,,
1425,NY,,,897781,W. R. Anderson,,35643,,0,1972,Eriocaulaceae,Paepalanthus,bryoides,Paepalanthus bryoides,(Bong.) Kunth,,,,H. N. Moldenke,,,Brazil,Minas Gerais,MG,Gouveia,"Serra do Espinhaço, ca. 17 km SW of Gouevia, km 258 on MG-259",-18.5647,-43.8344,,,,,,,,,
3699,NY,,,571718,B. L. Stannard,,H52759,,0,1992,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,A. M. Giulietti,,,Brazil,Bahia,BA,Abaíra,Campo da Mutuca,-13.37,-41.83,,,,,,,,,
3466,HUEFS,,,91159,B. R. N. Araújo,,109,16,12,2004,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,M.L.O.Trovó,5,2008,Brazil,Bahia,BA,Rio de Contas,Pico da Almas.,-13.51325,-41.9532544,,,,,,,,,
12803,SPF,"CEPEC,HUEFS,K,G,BR",,SPF00089213,B. Stannard,,52759,21,3,1992,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul. & L.R.Parra,,,,"Parra, L.R.",8,1996,Brasil,Bahia,BA,Abaíra,Campo da Mutuca,-13.3504,-41.83794479,,,,,,,,,
7164,SPF,,,,C. O. Andrino,A. Queiroz-Lima,328,28,1,2015,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul. & L.R.Parra,,,,,,,Brazil,Bahia,BA,Rio de Contas,Pico das Almas.,-13.50992,-41.94013728,,,,,,,,,
3447,HUEFS,,,158744,R. M. Harley,,15472,24,1,1974,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,,,,Brazil,Bahia,BA,Rio de Contas,"Lower NE slopes of the Pico das Almas, 25km WNW of the Vila do Rio de Contas.",-13.53333,-41.916667,,,,,,,,,
14191,SPF,K,,SPF00137770,R. M. Harley,,19579,17,2,1977,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul. & L.R.Parra,,,,"Giulietti, A.M.; Parra, L.R.",0,0,Brasil,Bahia,BA,,Serra das Almas,-13.50264,-41.95018789,,,,,,,,,
3406,NY,,,2189,R. M. Harley,,19704,,0,1977,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,M. L. O. Trovó,,,Brazil,Bahia,BA,Rio de Contas,"Middle & Upper slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas",-13.53714,-41.9371434,,,,,,,,,
3326,NY,,,501433,R. M. Harley,,24459,,0,1987,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,A. M. Giulietti; L. R. Parra,,,Brazil,Bahia,BA,Rio de Contas,Pico das Almas,-13.5186,-41.92101969,,,,,,,,,
3503,HUEFS,,,129802,R. M. Harley,,55651,20,8,2007,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,,,,Brazil,Bahia,BA,Rio de Contas,Subida para o Campo de Queiroz.,-13.52055,-41.936111,,,,,,,,,
12806,SPF,"BHCB,G,BR",,SPF00090138,T. Laessoe,,50990,2,3,1992,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul. & L.R.Parra,,,,"Parra, L.R.",8,1996,Brasil,Bahia,BA,Abaíra,,-13.38141,-41.8099885,,,,,,,,,
3861,NY,,,571607,T. Læssøe,,s.n.,,0,1992,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,A. M. Giulietti,,,Brazil,Bahia,BA,Abaíra,Campo da Pedra Grande,-13.3253,-41.84857362,,,,,,,,,
12802,SPF,HUEFS,,SPF00088703,W. Ganev,,236,5,5,1992,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul. & L.R.Parra,,,,"Parra, L.R.",6,1998,Brasil,Bahia,BA,Abaíra,Catolés,-13.37141,-41.8199885,,,,,,,,,
3878,BHCB,,,61098,s.n.,,s.n.,,0,0,Eriocaulaceae,Paepalanthus,cinereus,Paepalanthus cinereus,Giul.& L.R.Parra,,,,,,,Brazil,Bahia,BA,Abaíra,,-13.35438,-41.82338911,,,,,,,,,
5530,SPF,,,,A. M. Giulietti,,CFCR 4261,25,3,1984,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Hensold. N.,_,1990,Brazil,Minas Gerais,MG,Gouveia,",Fazenda Batieiroca, 4 km da sede da fazenda,",-18.4860978,-43.76741826,,,,,,,,,
15563,SPF,,,,A. S. Quaresma,,448,25,9,2012,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,C.O. Andrino,0,0,Brazil,Minas Gerais,MG,Serro,,-18.2658,-43.2648,,,,,,,,,
1633,DIAM,,,,C. O. Andrino,,15,25,9,2009,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Echternacht. L.,,,Brazil,Minas Gerais,MG,Diamantina,",Estrada para Milho Verde,",-18.34722222,-43.54833333,,,,,,,,,
2126,DIAM,,,,C. O. Andrino,,19,5,6,2009,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,C.O. Andrino,,,Brazil,Minas Gerais,MG,Diamantina,",Estrada para S?o Jo?o da Chapada, A 14,3 km da rodovia,",-18.16083333,-43.71638889,,,,,,,,,
1570,DIAM,,,,C. O. Andrino,,42,8,4,2010,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,D. C. Zappi,,,Brazil,Minas Gerais,MG,Serro,",Estrada para Milho Verde,",-18.43027778,-43.42638889,,,,,,,,,
15574,SPF,,,,C. O. Andrino,,84,18,9,2010,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,C.O. Andrino,0,0,Brazil,Minas Gerais,MG,Diamantina,"Parque Estadual do Biribiri,",-18.11323,-43.36537,,,,,,,,,
2122,DIAM,,,,C. O. Andrino,,93,19,11,2010,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,C.O. Andrino,,2010,Brazil,Minas Gerais,MG,Diamantina,",Km 14 da rodovia at? S?o Jo?o da Chapada",-18.16222222,-43.715,,,,,,,,,
2133,DIAM,,,,C. O. Andrino,,109,12,1,2011,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Andrino. C.O.,1,2011,Brazil,Minas Gerais,MG,Diamantina,"Parque Estadual do Biribiri,Lapa do forno",-18.15888889,-43.54361111,,,,,,,,,
2022,SPF,,,,C. O. Andrino,,225,19,9,2012,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Andrino. C.O.,,,Brazil,Minas Gerais,MG,Diamantina,"Parque Estadual do Biribiri, Varj?o,Crescendo em solo arenoso,",-18.20333333,-43.61027778,,,,,,,,,
1223,NY,,,,D. C. Zappi,,2741,,,2010,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,,,,Brazil,Minas Gerais,MG,Santana do Pirapama,"Serra do Cip?, Capela de S?o Jos?, Subida da Senhorinha,",-18.9483,-43.7561,,,,,,,,,
12838,SPF,,,,F. N. Costa,,712,28,11,2003,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Andrino. C.O.,0,0,Brazil,Minas Gerais,MG,Diamantina,,-18.15168,-43.30425,,,,,,,,,
2046,DIAM,,,,F. N. Costa,,1207,23,2,2010,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,C.O.Andrino,,2011,Brazil,Minas Gerais,MG,Diamantina,"Parque Estadual do Biribiri, ,Estrada para a Vila de Biribiri, antes da Cachoeira da Sentinela,",-18.19805556,-43.62555556,,,,,,,,,
1559,ALCB,,,,G. Hatschbach,,67352,21,11,1997,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Echternacht. L.,,1999,Brazil,Minas Gerais,MG,Datas,"Palmital,",-18.433333,-43.65,,,,,,,,,
1414,CEN,,,,J. A. N. Batista,,2248,,,,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,,,,,Minas Gerais,MG,Presidente Kubitschek,"Cerca de 20 km S de Datas,",-18.570277,-43.594444,,,,,,,,,
12810,SPF,,,,L. Echternacht,,1814,16,7,2008,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Echternacht. L.,7,2008,Brazil,Minas Gerais,MG,Diamantina,"Parque Estadual do Biribiri,",-18.0934,-43.3702,,,,,,,,,
12846,SPF,,,,L. Echternacht,,1911,25,9,2008,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,A.M.Giulietti,1,2013,Brazil,Minas Gerais,MG,Diamantina,,-18.1618,-43.4707,,,,,,,,,
,,,,,L. Echternacht,,2564,,,,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,,,,Brazil,Minas Gerais,MG,Diamantina.,Parque Nacional das Sempre Vivas. No vale do rio Jequitaí.,-17.890833,-43.806667,,,,,,,,,
2011,HUEFS,,,,M. J. G. Andrade,,540,6,4,2004,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Oliveira. M.T.L.,7,2006,Brazil,Minas Gerais,MG,Diamantina,"Margem da estrada Diamantina-Biribiri, Km 4 da Entrada para Biribiri,",-18.210556,-43.616667,,,,,,,,,
15611,SPF,,,,M. Verdi,,6832,11,2,2014,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,M. Trovó,7,2017,Brazil,Minas Gerais,MG,Diamantina,,-18.1703,-43.4546,,,,,,,,,
1620,RB,,,,M. Verdi,,6895,12,2,2014,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,,3,2015,Brazil,Minas Gerais,MG,Diamantina,"Entrada Real, entre Diamantina e Vau,Entrada Real, entre Diamantina e Vau,",-18.375,-43.54916667,,,,,,,,,
2131,RB,,,,M. Verdi,,6996,13,2,2014,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Ramos. R.,3,2015,Brazil,Minas Gerais,MG,Diamantina,"Parque Estadual Biribiri,Parque Estadual Biribiri, Lapa dos Fornos,",-18.15916667,-43.54388889,,,,,,,,,
2023,NY,,,,N. Hensold,,204,,,1981,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,Hensold. N.,,,Brazil,Minas Gerais,MG,Diamantina,"4 km from Diamantina, on road to Biri-Biri, in the valley of Ribeir?o das Pedras,",-18.2028,-43.625,,,,,,,,,
1639,SPF,,,,N. Hensold,,232,2,11,1981,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,N.Hensold,_,1986,Brazil,Minas Gerais,MG,Diamantina,",18 km de Diamantina, na BR 259/367, entre Diamantina e Curvelo,",-18.34166667,-43.68055556,,,,,,,,,
2025,SPF,,,,N. Hensold,,263,2,12,1981,Eriocaulaceae,Paepalanthus,comans,Paepalanthus comans,Silveira,,,,N. Hensold,_,1986,Brazil,Minas Gerais,MG,Diamantina,",7 km de Diamantina, na estrada para Biri-Biri, no vale do Ribeir?o da Pedras,",-18.20277778,-43.625,,,,,,,,,
